course_id,from,to
bWdj2GDclj5ofokWjzoa5jAwMkxCykd6,2014-05-26,2014-06-24
RXDvfPUBYFlVdlueBFbLW0mhhAyGEqpt,2014-05-25,2014-06-23
fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,2014-01-17,2014-02-15
A3fsA9Zfv1X2fVEQhTw51lKENdNrEqT3,2014-05-28,2014-06-26
5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,2014-06-09,2014-07-08
5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6,2013-12-11,2014-01-09
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,2014-05-26,2014-06-24
3VkHkmOtom3jM2wCu94xgzzu1d6Dn7or,2013-11-01,2013-11-30
G8EPVSXsOYB5YQWZGiz1aVq5Pgr2GrQu,2014-05-25,2014-06-23
7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,2014-06-19,2014-07-18
TAYxxh39I2LZnftBpL0LfF2NxzrCKpkx,2014-06-11,2014-07-10
DABrJ6O4AotFwuAbfo1fuMj40VmMpPGX,2013-10-30,2013-11-28
81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv,2013-12-11,2014-01-09
ykoe1cCWK134BJmfbNoPEenJOIWdtQOZ,2014-05-13,2014-06-11
X78EhlW2JxwO1I6S3U4yZVwkEQpKXLOj,2014-05-29,2014-06-27
gvEwgd64UX4t3K7ftZwXiMkFuxFUAqQE,2014-05-19,2014-06-17
HbeAZjZFFQUe90oTP0RRO0PEtRAqU3kK,2014-05-29,2014-06-27
WM572q68zD5VW8pcvVTc1RhhFUq3iRFN,2014-05-28,2014-06-26
Wm3dddHSynJ76EJV6hyLYKGGRL0JF3YK,2013-12-02,2013-12-31
NmbZ3BmS8V4pMg6oxXHWpqqMZCE1jvYt,2014-05-26,2014-06-24
nSfGxfEtzw5G72fVbfaowxsV46Pg1xIc,2013-11-25,2013-12-24
Er0RFawC4sHagDmmQZcBGBrzamLQcblZ,2013-12-12,2014-01-10
AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,2014-06-04,2014-07-03
9Mq1P5hrrLw6Bh9X4W4ZjisQJDdxjz9x,2014-05-25,2014-06-23
1pvLqtotBsKv7QSOsLicJDQMHx3lui6d,2013-11-26,2013-12-25
xMd9DzNyUCTLRPVbwWVzf4vq06oqrTT1,2014-05-26,2014-06-24
H2lDW05SyKnwntZ6Fora76aPAEswcMa5,2014-05-28,2014-06-26
9Bd26pfDLvkPINwLnpaGcf0LrLUvY1Mz,2014-05-20,2014-06-18
DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,2014-06-12,2014-07-11
q6A6QG7qMpyNcznyT2XaIxnfNGkZRxXl,2013-10-27,2013-11-25
3cnZpv6ReApmCaZyaQwi2izDZxVRdC01,2014-05-25,2014-06-23
a2E7NQC7nZB7WHEhKGhKnKvUWtsLAQzh,2014-05-29,2014-06-27
mTmmr5zd8l4wXhwiULwjSmSbi9ktcFmV,2013-12-17,2014-01-15
KHPw0gmg1Ad3V07TqRpyBzA8mRjj7mkt,2014-06-15,2014-07-14
shM3Yy9vxHn2aqjSYfQXOcwGo0hWh3MI,2014-05-19,2014-06-17
9zpXzW9zCfU8KGBWkhlsGH8B8czISH4J,2014-07-03,2014-08-01
I7Go4XwWgpjRJM8EZGEnBpkfSmBNOlsO,2013-11-11,2013-12-10
tXbz2ZYaRyb2ZsWUBPoYzAmisOhHQrYl,2013-11-28,2013-12-27
V4tXq15GxHo2gaMpaJLZ3IGEkP949IbE,2014-05-29,2014-06-27
